server_id,server_name,server_url,server_protocol,server_status,server_description,tool_name,tool_description,tool_tags,tool_input_schema
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,name2smiles,"Convert a molecule name to its SMILES representation.

This method retrieves the SMILES string for a given molecule name via PubChem (pubchempy).

Args:
    mol (str): The name of the molecule to convert.

Returns:
    str: The SMILES string representation of the molecule if successful,
         an error message if the request fails,
         or a ""couldn't obtain smiles"" message if the name is invalid.",,"{""type"": ""object"", ""properties"": {""mol"": {""description"": ""Name of a molecule"", ""type"": ""string""}}, ""required"": [""mol""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,smiles2name,"Converts a SMILES string representing a molecule into its IUPAC name.

Args:
    smiles (str): The SMILES string of the molecule.

Returns:
    str: The IUPAC name of the molecule, or an error message if the conversion fails.",,"{""type"": ""object"", ""properties"": {""smiles"": {""description"": ""SMILES of a molecule"", ""type"": ""string""}}, ""required"": [""smiles""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,smiles2prop,"Calculate molecular properties from a SMILES string or IUPAC name.

Args:
    smiles (str, optional): The SMILES string of the molecule.
    iupac (str, optional): The IUPAC name of the molecule.

Returns:
    CalcMolDescriptors: An object containing calculated molecular properties. 
                         Returns an error message as a string if the calculation fails.",,"{""type"": ""object"", ""properties"": {""smiles"": {""anyOf"": [{""type"": ""string""}, {""type"": ""null""}], ""default"": null, ""description"": ""The SMILES string of the molecule. Leave empty if providing IUPAC name.""}, ""iupac"": {""anyOf"": [{""type"": ""string""}, {""type"": ""null""}], ""default"": null, ""description"": ""The IUPAC name of the molecule. (e.g., 'aspirin'). Leave empty if providing SMILES.""}}, ""required"": [], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,visualize_molecule,"Visualizes a molecule from its SMILES and returns a temporary presigned URL to an HTML file.

The file is stored in S3 under 'visualizations/' with a auto-generated name
and is intended for one-time viewing (URL expires in 1 hour).

Args:
    smiles: SMILES string of the molecule.

Returns:
    str: Presigned URL to the HTML visualization, or an error message.",,"{""type"": ""object"", ""properties"": {""smiles"": {""description"": ""SMILES of a molecule"", ""type"": ""string""}}, ""required"": [""smiles""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,extract_reactions,"Detect chemical reactions in images loaded by URLs (ChemService).

Each URL is processed in turn (in memory, no local cache). Annotated JPEGs are uploaded to S3
under ``chemical_mcp/annotated_images``; presigned URLs are listed in metadata.

Args:
    image_urls: One or more direct image links.

Returns:
    dict: ``answer`` maps labels (from URL paths; disambiguated with ``__{index}`` on collision)
    to reaction dicts. ``metadata`` has ``annotated_image_presigned_urls``, ``source_urls``,
    and optionally ``failed`` (per-URL errors) if some URLs could not be processed.",,"{""type"": ""object"", ""properties"": {""image_urls"": {""description"": ""List of public HTTP(S) URLs of images"", ""items"": {""type"": ""string""}, ""type"": ""array""}}, ""required"": [""image_urls""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,extract_molecules,"Detect molecular structures in images loaded by URLs (ChemService).

Each URL is processed in turn. Annotated JPEGs go to S3 under ``chemical_mcp/annotated_images``;
presigned URLs are returned in metadata.

Args:
    image_urls: One or more direct image links.

Returns:
    dict: ``answer`` maps labels to ``smiles`` / ``errors``. ``metadata`` includes
    ``annotated_image_presigned_urls``, ``source_urls``, and optionally ``failed``.",,"{""type"": ""object"", ""properties"": {""image_urls"": {""description"": ""List of public HTTP(S) URLs of images"", ""items"": {""type"": ""string""}, ""type"": ""array""}}, ""required"": [""image_urls""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,calculate_docking,"Calculate docking score for a molecule; upload the HTML visualization to S3 and return a presigned URL.

Args:
    smiles: SMILES string of the molecule.
    pdb_id: PDB identifier for the receptor structure.

Returns:
    dict: ``answer`` with affinity and errors; ``metadata`` may include ``docking_html_presigned_url``
    (temporary link, same TTL as molecule visualizations) when a visualization is returned.",,"{""type"": ""object"", ""properties"": {""smiles"": {""type"": ""string""}, ""pdb_id"": {""type"": ""string""}}, ""required"": [""smiles"", ""pdb_id""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,retrosynthesis_tree_search,"Plan a retrosynthesis route for a target molecule.

Use this when the user asks for possible synthetic routes or precursors
for a target SMILES. This calls the retrosynthesis service and returns
ASKCOS-like routes with steps, reactants, and scores.

Args:
    smiles (str): Target molecule SMILES.
    mode (str): Search depth/quality preset (""fast"", ""balanced"", ""deep"").

Returns:
    dict: Retrosynthesis result payload with:
        - target (str | None): input target SMILES returned by ASKCOS.
        - routes (List[Dict]): list of retrosynthesis routes:
            - id (str): unique route identifier.
            - depth (int | None): longest path length in the route.
            - precursor_cost (float | None): summed precursor cost metric.
            - score (float | None): overall route score.
            - min_step_plausibility (float | None): lowest step plausibility.
            - avg_step_plausibility (float | None): average step plausibility.
            - steps (List[Dict]): ordered reaction steps:
                - reaction_smiles (str): step reaction SMILES.
                - mapped_smiles (str | None): atom-mapped reaction SMILES.
                - plausibility (float | None): step plausibility score.
                - precursor_rank (int | None): ranking of precursor set.
                - precursor_score (float | None): model score for precursors.
                - model_score (float | None): model score for the step.
                - template (Dict | None): template metadata:
                    reaction_smarts (str): reaction SMARTS pattern.
                    template_rank (int | None): rank among templates.
                    num_examples (int | None): template training examples count.
                - reactants (List[Dict]): precursor molecules:
                    smiles (str): molecule SMILES.
                    terminal (bool | None): True if purchasable/terminal.
                    buy_link (str | None): vendor link if available.
                    stoichiometry (int): reagent count (default 1).
                - products (List[Dict]): products, same schema as reactants.
        - metadata (Dict): visualization info:
            - route_images (List[Dict]): one entry per route with:
                - route_id (str): route identifier.
                - s3_key (str): S3 object key.
                - presigned_url (str): temporary URL to view the image (1 h TTL).
    On failure returns a dict with an ""answer"" message.",,"{""type"": ""object"", ""properties"": {""smiles"": {""description"": ""Target molecule SMILES"", ""type"": ""string""}, ""mode"": {""default"": ""fast"", ""description"": ""One of: fast, balanced, deep"", ""type"": ""string""}}, ""required"": [""smiles""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,classify_reaction,"Classify reaction SMILES into reaction classes.

Use this when the user provides reaction SMILES and wants the reaction
type/class (e.g., named reactions or class labels). Returns ASKCOS-like
classification hits with ranks and confidence.

Args:
    smiles (List[str]): One or more reaction strings; each is reactants>>products,
        with multiple reactants joined by ""."" (e.g. [""CCO.CC(=O)O>>CCOC(=O)C""]).
    num_results (int): Max number of classes per reaction (1..50).

Returns:
    dict: ASKCOS classification payload with:
        - status_code (int): upstream status code.
        - message (str): upstream message.
        - result (List[Dict]): list of hits with:
            - rank (int): hit rank.
            - reaction_num (str): reaction identifier.
            - reaction_name (str): reaction name.
            - reaction_classnum (str): class number.
            - reaction_classname (str): class name.
            - reaction_superclassnum (str): superclass number.
            - reaction_superclassname (str): superclass name.
            - prediction_certainty (float): confidence score.
    On failure returns a dict with an ""answer"" message.",,"{""type"": ""object"", ""properties"": {""smiles"": {""description"": ""Each entry is one full reaction SMILES: 'A.B>>C' (not separate molecules per list item)"", ""items"": {""type"": ""string""}, ""type"": ""array""}, ""num_results"": {""default"": 10, ""description"": ""Max classes per reaction (1..50)"", ""type"": ""integer""}}, ""required"": [""smiles""], ""additionalProperties"": false}"
bfd3f80438ba403b,chemical-tools,http://10.32.11.45:7332/mcp,http,active,Chemistry tools for scientific calculations,forward_predict,"Predict reaction products from reactants (forward synthesis).

Use this when the user provides reactants and wants predicted products.
You can specify backend/model_name and optional reagents/solvent strings.

Args:
    smiles (List[str]): Batch of reaction inputs (reactants).
    backend (str): One of ""wldn5"", ""graph2smiles"", ""augmented_transformer"".
    retrosynthesis_model_name (str): Model name for the backend (default ""pistachio"").
    reagents (str): Reagents string as in ASKCOS controller.
    solvent (str): Solvent string as in ASKCOS controller.

Returns:
    dict: ASKCOS forward payload with:
        - inputs (List[str]): normalized inputs (reactants+reagents+solvent).
        - backend (str): backend identifier used.
        - model_name (str): model name used.
        - predictions (List[Dict]): predicted products:
            - smiles (str): product SMILES.
            - score (float): model probability/score.
        - metadata (Dict): visualization info:
            - predictions_image (Dict):
                - s3_key (str): S3 object key.
                - presigned_url (str): temporary URL to view the grid image (1 h TTL).
            - top_reactions_image (Dict): reaction drawings for top 3 products:
                - s3_key (str): S3 object key.
                - presigned_url (str): temporary URL to view the reactions image (1 h TTL).
    On failure returns a dict with an ""answer"" message.",,"{""type"": ""object"", ""properties"": {""smiles"": {""description"": ""Batch of reaction inputs (reactants)"", ""items"": {""type"": ""string""}, ""type"": ""array""}, ""backend"": {""description"": ""One of: wldn5, graph2smiles, augmented_transformer"", ""type"": ""string""}, ""retrosynthesis_model_name"": {""default"": ""pistachio"", ""description"": ""Model name for backend"", ""type"": ""string""}, ""reagents"": {""default"": """", ""description"": ""Reagents string"", ""type"": ""string""}, ""solvent"": {""default"": """", ""description"": ""Solvent string"", ""type"": ""string""}}, ""required"": [""smiles"", ""backend""], ""additionalProperties"": false}"
f48c27fb26f70fbd,dataset-collection,http://10.32.11.45:7334/mcp,http,active,Extraction of molecules and their properties datasets from scientific papers,explore_chemistry_database,"Leverages a database of chemical scientific papers to answer user questions.
This tool is prioritized over web searches for information.
It is designed for general inquiries and not for details specific to individual papers
(e.g., figure descriptions, experimental details, conclusions) or for identifying
lists of relevant publications.

Args:
    task (str): The user's question or query related to chemistry.

Returns:
    dict: A dictionary containing the LLM's response, the supporting
        text, images, and tables extracted from the database, and metadata
        about the request (model used, token count, etc.).",,"{""additionalProperties"": false, ""properties"": {""task"": {""type"": ""string""}}, ""required"": [""task""], ""type"": ""object""}"
f48c27fb26f70fbd,dataset-collection,http://10.32.11.45:7334/mcp,http,active,Extraction of molecules and their properties datasets from scientific papers,explore_my_papers,"Answers questions based on the content of user-provided scientific papers. 
This tool allows users to query specific documents they've uploaded, retrieving insights 
like figure descriptions, experimental details, or conclusions. It prioritizes answers
from these papers over general web searches.
It can also answer questions concerning the document set itself (e.g., number of uploaded papers,
their presence, titles, authors, or other metadata).

Args:
    task (str): The user's question about the uploaded papers.
    s3_keys (list[str]): The list of S3 keys for the uploaded papers.
    config (RunnableConfig): The configuration for the runnable.


Returns:
    dict: A dictionary containing the answer generated by the LLM and metadata 
          about the request (e.g., model used, token count).  
          Returns an error message if no papers are provided or if data extraction fails.",,"{""additionalProperties"": false, ""properties"": {""task"": {""type"": ""string""}, ""s3_keys"": {""items"": {""type"": ""string""}, ""type"": ""array""}}, ""required"": [""task"", ""s3_keys""], ""type"": ""object""}"
d36e3d994404e957,GenerativeMoleculeModels,http://10.32.2.2:8764/mcp,http,error,Generative molecular models MCP: de novo generation of SMILES / candidate molecules (e.g. for GSK-3beta and other targets).,list_generative_train_cases,"Lists S3 objects and resolves dataset names (`case_name`) for GAN training.

This is the Generative (`GenerativeModelsMCP`) server's view of the shared
bucket. The AutoML server exposes a functionally equivalent
`list_automl_train_cases` against the same bucket — pick whichever server
you are already talking to; the result is identical.",,"{""additionalProperties"": false, ""properties"": {""prefix"": {""default"": ""train/"", ""type"": ""string"", ""description"": ""\nS3 prefix (folder) where train datasets are stored.\nDefault: `train/`.""}, ""extension"": {""default"": "".csv"", ""type"": ""string"", ""description"": ""\nFile extension for train datasets.\nDefault: `.csv`.""}}, ""type"": ""object""}"
d36e3d994404e957,GenerativeMoleculeModels,http://10.32.2.2:8764/mcp,http,error,Generative molecular models MCP: de novo generation of SMILES / candidate molecules (e.g. for GSK-3beta and other targets).,get_state_from_server,"Returns model registry state from prediction or generative API server.
This state discribes available cases, their training status, and metadata. It is used by MCP clients to discover cases and track training progress.",,"{""additionalProperties"": false, ""properties"": {""url"": {""default"": ""gen"", ""type"": ""string"", ""description"": ""\n- \""pred\"" -> use prediction base URL.\n- \""gen\"" -> use generative base URL.\n- any other value is treated as explicit base URL.""}, ""case"": {""anyOf"": [{""type"": ""string""}, {""type"": ""null""}], ""default"": null, ""description"": ""\nOptional case key. If provided, returns only this case entry.""}}, ""type"": ""object""}"
d36e3d994404e957,GenerativeMoleculeModels,http://10.32.2.2:8764/mcp,http,error,Generative molecular models MCP: de novo generation of SMILES / candidate molecules (e.g. for GSK-3beta and other targets).,start_generative_model_training,"Starts GAN generative training. The training CSV is always supplied as an
HTTP(S) URL (e.g. an S3 presigned URL), which the training backend fetches
via plain `requests.get(...)`. No S3 credentials are required for the read,
so the URL may point at any reachable endpoint / account.

BLOCKING call. Unlike `train_ml` (which spawns a background process and
returns a `job_id` immediately), this tool issues a synchronous HTTP
request to the FastAPI backend and waits for training to finish — up to
`GAN_HTTP_TIMEOUT_S` seconds (default ~19 min). There is no `job_id` and
nothing to poll; success/failure is reported in the response. Plan
surrounding tool calls accordingly.

Trained weights are uploaded to S3 under
`gan_weights/{case_name}/train_GAN_{case_name}/...` by default
(`save_trained_data_to_sync_server=True`). A fresh inference container
will then auto-download them on the first `generate_mols(case=case_name)`.",,"{""additionalProperties"": false, ""properties"": {""case_name"": {""type"": ""string"", ""description"": ""\nUnique case identifier used to name and track the training run.\nUse `list_s3_train_cases` to discover available datasets.""}, ""train_data_url"": {""type"": ""string"", ""description"": ""\nRequired HTTP(S) URL of the training CSV — typically an S3\npresigned URL. The training server downloads it directly; the\nagent does not stream raw data through itself.""}, ""feature_column"": {""default"": [""Smiles""], ""items"": {""type"": ""string""}, ""type"": ""array"", ""description"": ""\nName of the SMILES column in the downloaded CSV.\nExample: `[\""canonical_smiles\""]`.""}, ""epochs"": {""default"": 10, ""type"": ""integer"", ""description"": ""\nNumber of GAN training steps/epochs.""}, ""fine_tune"": {""default"": true, ""type"": ""boolean"", ""description"": ""\nWhether to fine-tune existing GAN weights.""}, ""save_trained_data_to_sync_server"": {""default"": true, ""type"": ""boolean"", ""description"": ""\nIf True (default), trained GAN weights are uploaded to S3 under\n`gan_weights/{case_name}/train_GAN_{case_name}/...` after\ntraining finishes.""}}, ""required"": [""case_name"", ""train_data_url""], ""type"": ""object""}"
d36e3d994404e957,GenerativeMoleculeModels,http://10.32.2.2:8764/mcp,http,error,Generative molecular models MCP: de novo generation of SMILES / candidate molecules (e.g. for GSK-3beta and other targets).,generate_mols,"Generic, FAST GAN molecule generator. Default tool for ""give me N drug-like
molecules"" requests when no disease-specific tuning is required. Its generate good molecules fast, when training is timeconsuming or unavailable — for example, when the agent is exploring a new case and has not trained a GAN yet or has no train data.

Model: GAN-LSTM (`gan_auto_generator` on the FastAPI side). One forward
pass per batch — no iterative novelty/property filtering loop, no docking,
no IC50 evaluation. Returns the SMILES plus a fixed set of RDKit-computed
properties (`QED`, `LogP`, `Synthetic Accessibility`, `Brenk`, `PAINS`,
`Glaxo`, `SureChEMBL`, `Polar Surface Area`, H-bond/Rotatable/Aromatic
counters, `Validity`, `Duplicates`).

Two operating modes:

1. Generic mode (`case` omitted) — uses the bundled fallback GAN weights
   shipped with the image (`GAN/gan_lstm_refactoring/weights/
   v4_gan_mol_124_0.0003_8k.pkl`, pulled from HuggingFace at build time).
   No S3 lookup, no case state required. This is the right tool for any
   case that does NOT already have a fine-tuned GAN.

2. Case-specific mode (`case` provided) — STRICT: weights MUST be the
   case-specific ones produced by `start_generative_model_training`. If
   missing locally, the FastAPI side tries to download
   `gan_weights/{case}/train_GAN_{case}/...` from S3. If neither local
   cache nor S3 has them, the response carries
   `status=""case_not_trained"" / ""weights_not_found"" / ""weights_load_failed""`
   — there is NO silent fallback to the generic GAN.

Typical agent workflow: `generate_mols(num=...)` → pipe SMILES into
`predict_ml(case=..., smiles_list=...)` for property prediction. If the
results are insufficient, request more molecules — no retraining needed.

For the 6 hard-coded disease cases (alzheimer, parkinson, cancer,
skleroz, dyslipidemia, drug_resist) prefer `generate_case_mols` — it
runs a different, slower model (multi-property CVAE) tuned for those
targets with property constraints. Do NOT use those names here unless
you have separately trained a GAN under that case name.",,"{""additionalProperties"": false, ""properties"": {""num"": {""default"": 10, ""type"": ""integer"", ""description"": ""Number of molecules requested. Default 10. No hard cap.""}, ""case"": {""anyOf"": [{""type"": ""string""}, {""type"": ""null""}], ""default"": null, ""description"": ""Optional trained-GAN case name (see \""Case-specific mode\"" above).\nOmit for the generic GAN.""}, ""upload_results_to_s3"": {""default"": true, ""type"": ""boolean"", ""description"": ""When True (default), upload the CSV with\ngenerated molecules to S3 and return a presigned URL.""}, ""output_s3_prefix"": {""default"": ""generated"", ""type"": ""string"", ""description"": ""S3 prefix for the uploaded CSV. Default `generated`.\nFinal key: `{output_s3_prefix}/{case_or_gan_default}/{uuid}.csv`.""}, ""return_inline_results"": {""default"": false, ""type"": ""boolean"", ""description"": ""When True, include the raw dict of arrays in\nthe response alongside the S3 link.""}}, ""type"": ""object""}"
d36e3d994404e957,GenerativeMoleculeModels,http://10.32.2.2:8764/mcp,http,error,Generative molecular models MCP: de novo generation of SMILES / candidate molecules (e.g. for GSK-3beta and other targets).,generate_case_mols,"Generate molecules for a HARDCODED disease case using a multi-property
conditional VAE — SLOWER but tuned for specific therapeutic targets.

Model: 8-property conditional CVAE (`multi_generator` on the FastAPI side
invoked through one of the `/search_*` endpoints) with case-specific
pre-bundled weights:

    alzheimer    -> autotrain/many_prop_CVAE/weights_8p_alzhmr/
    skleroz      -> autotrain/many_prop_CVAE/weights_8p_sklrz/
    cancer       -> autotrain/many_prop_CVAE/weights_8p_cnsr/
    parkinson    -> autotrain/many_prop_CVAE/weights_parkinson/
    dyslipidemia -> autotrain/many_prop_CVAE/weights_dislip/
    drug_resist  -> autotrain/many_prop_CVAE/weights_8p_tablet/

Unlike `generate_mols`, the backend applies property constraints
(`spec_conds` — windows on docking_score, QED, Synthetic Accessibility,
PAINS/SureChEMBL/Glaxo/Brenk flags) and ITERATIVELY regenerates until
enough valid + novel molecules accumulate. Novelty is checked against the
disease-specific ChEMBL training set
(`docked_data_for_train/data_*.csv`). Because of this loop, latency is
significantly higher than `generate_mols` — expect tens of seconds to a
few minutes for a full batch.

When to use this tool vs `generate_mols`:
    - Use `generate_case_mols` ONLY for the 6 cases listed above and only
      when you need property-constrained, case-tuned molecules (typical
      for lead-discovery / SAR workflows).
    - For any other target, fast generic generation, or when you just
      need raw SMILES to feed into `predict_ml`, use `generate_mols`
      (universal GAN, no constraints, no per-case weights required).

Hard cap: the FastAPI side enforces `numb_mol <= 100` per request — any
larger value is silently clamped to 100.",,"{""additionalProperties"": false, ""properties"": {""case"": {""type"": ""string"", ""description"": ""\nDisease case selector (case-insensitive). Supported values:\n- `skleroz` -> multiple sclerosis (BTK target).\n- `parkinson` -> Parkinson's disease (tyrosine-protein kinase ABL).\n- `cancer` -> cancer (8afb protein).\n- `dyslipidemia` -> dyslipidemia (ATP citrate synthase).\n- `drug_resist` -> drug-resistance (\""tablet\"" weights).\n- `alzheimer` -> Alzheimer's disease (4j1r target).""}, ""num"": {""default"": 10, ""type"": ""integer"", ""description"": ""\nNumber of molecules requested. Default `10`. Backend hard-caps\nat 100 — larger values are silently truncated.""}, ""upload_results_to_s3"": {""default"": true, ""type"": ""boolean"", ""description"": ""When True (default), upload CSV with generated\nmolecules to S3 and return a presigned URL.""}, ""output_s3_prefix"": {""default"": ""generated"", ""type"": ""string"", ""description"": ""S3 prefix for the uploaded CSV. Default `generated`.""}, ""return_inline_results"": {""default"": false, ""type"": ""boolean"", ""description"": ""When True, include the raw dict alongside the\nS3 link.""}}, ""required"": [""case""], ""type"": ""object""}"
